t,true_px,true_py,meas_px,meas_py,est_px,est_py
3.42,8.81015,5.66454,9.16529,5.37811,8.69878,4.43638
3.43,8.84014,5.77705,8.35704,6.09907,8.66979,4.63796
3.44,8.87012,5.88859,8.96116,6.16302,8.71883,4.82693
3.45,8.9001,5.99914,8.89879,6.30774,8.75472,5.01454
3.46,8.93009,6.10871,8.846,5.86099,8.78,5.12703
3.47,8.96007,6.2173,9.25669,6.1616,8.85357,5.26528
3.48,8.99005,6.32491,8.69051,6.29762,8.84857,5.40605
3.49,9.02004,6.43154,9.01654,6.55937,8.88439,5.56469
3.5,9.05002,6.53719,8.74495,6.71485,8.88225,5.72604
3.51,9.08,6.64185,9.3949,6.56096,8.96106,5.85114
3.52,9.10999,6.74554,9.70349,7.03637,9.0699,6.02216
3.53,9.13997,6.84824,9.04108,7.19608,9.08447,6.19494
3.54,9.16995,6.94996,9.29058,7.02624,9.12822,6.32808
3.55,9.19994,7.05071,8.82464,7.00632,9.10888,6.4443
3.56,9.22992,7.15047,9.7895,6.90774,9.21146,6.53547
3.57,9.2599,7.24925,9.22463,7.29669,9.23256,6.66495
3.58,9.28989,7.34704,9.093,6.85268,9.23457,6.72485
3.59,9.31987,7.44386,9.3987,6.95677,9.27404,6.79065
3.6,9.34986,7.5397,9.38504,7.73957,9.30727,6.94645
3.61,9.37984,7.63455,9.5034,8.0073,9.35136,7.11869
3.62,9.40982,7.72843,9.55338,8.05689,9.39667,7.27839
3.63,9.43981,7.82132,9.25212,7.57066,9.39921,7.35992
3.64,9.46979,7.91323,9.38208,7.59603,9.4172,7.4351
3.65,9.49977,8.00417,9.72873,7.78015,9.47609,7.52437
3.66,9.52976,8.09412,9.70413,8.23595,9.52534,7.66018
3.67,9.55974,8.18309,9.34237,7.9952,9.52387,7.75079
3.68,9.58972,8.27107,9.33599,8.46578,9.52122,7.88958
3.69,9.61971,8.35808,9.73218,8.33305,9.56776,7.99629
3.7,9.64969,8.44411,9.43801,8.05631,9.5723,8.0562
3.71,9.67967,8.52915,9.57737,7.83004,9.59324,8.08039
3.72,9.70966,8.61322,9.38739,8.30507,9.58781,8.16006
3.73,9.73964,8.6963,9.80726,8.42484,9.63483,8.24519
3.74,9.76962,8.7784,10.3164,8.75297,9.74005,8.36121
3.75,9.79961,8.85952,9.5242,8.22473,9.73509,8.39805
3.76,9.82959,8.93966,10.0496,9.05445,9.79565,8.53329
3.77,9.85958,9.01882,9.88118,9.42181,9.82843,8.69912
3.78,9.88956,9.097,9.54612,9.13972,9.81547,8.81131
3.79,9.91954,9.1742,9.94732,9.06794,9.85335,8.90157
3.8,9.94953,9.25041,9.73555,9.92415,9.86037,9.08793
3.81,9.97951,9.32565,9.54217,9.79637,9.842,9.23769
3.82,10.0095,9.3999,9.74901,9.8961,9.85079,9.38295
3.83,10.0395,9.47318,10.2072,9.1369,9.91535,9.41695
3.84,10.0695,9.54547,10.1032,9.94419,9.95978,9.54657
3.85,10.0994,9.61678,10.0313,9.83992,9.99014,9.64825
3.86,10.1294,9.68711,9.80166,9.36418,9.98818,9.67846
3.87,10.1594,9.75646,9.67872,9.94366,9.97055,9.77624
3.88,10.1894,9.82482,10.0402,9.98468,9.99931,9.86746
3.89,10.2194,9.89221,10.2247,9.86321,10.0476,9.93251
3.9,10.2494,9.95862,10.1843,10.4338,10.0854,10.0604
3.91,10.2793,10.024,10.4141,10.4239,10.1475,10.1723
3.92,10.3093,10.0885,10.2024,9.89451,10.1763,10.2049
3.93,10.3393,10.1519,10.5126,9.74672,10.2402,10.2141
3.94,10.3693,10.2144,10.4025,10.485,10.2833,10.3128
