t,true_x,true_y,true_theta,est_x,est_y,est_theta
27.8,2.97376,4.93421,2.08681,2.9948,4.96801,2.07808
27.9,2.92441,5.02119,2.11681,2.95997,5.0699,2.10802
28,2.87248,5.10665,2.14681,2.88954,5.11927,2.13836
28.1,2.81802,5.19051,2.17681,2.82843,5.16106,2.16826
28.2,2.76106,5.2727,2.20681,2.76721,5.20333,2.19865
28.3,2.70166,5.35315,2.23681,2.72621,5.33007,2.22863
28.4,2.63987,5.43178,2.26681,2.64261,5.37852,2.25867
28.5,2.57575,5.50852,2.29681,2.60085,5.47678,2.28884
28.6,2.50936,5.5833,2.32681,2.53513,5.57195,2.31889
28.7,2.44076,5.65606,2.35681,2.47487,5.65772,2.34914
28.8,2.37001,5.72672,2.38681,2.42788,5.72616,2.37961
28.9,2.29716,5.79524,2.41681,2.35237,5.78687,2.40929
29,2.2223,5.86153,2.44681,2.27894,5.85294,2.43913
29.1,2.14548,5.92555,2.47681,2.19898,5.93453,2.46897
29.2,2.06677,5.98724,2.50681,2.13188,5.94248,2.49956
29.3,1.98625,6.04654,2.53681,2.02738,6.00831,2.52904
29.4,1.90399,6.1034,2.56681,1.94301,6.08619,2.55872
29.5,1.82006,6.15777,2.59681,1.85935,6.15324,2.58895
29.6,1.73454,6.20959,2.62681,1.7713,6.19546,2.61897
29.7,1.6475,6.25882,2.65681,1.69771,6.24114,2.64935
29.8,1.55902,6.30542,2.68681,1.60571,6.30734,2.6793
29.9,1.46918,6.34935,2.71681,1.5196,6.34539,2.70963
30,1.37807,6.39056,2.74681,1.40574,6.38407,2.73936
30.1,1.28576,6.42902,2.77681,1.33825,6.44607,2.76947
30.2,1.19234,6.4647,2.80681,1.21234,6.52005,2.79893
30.3,1.09789,6.49755,2.83681,1.11688,6.53531,2.8289
30.4,1.0025,6.52756,2.86681,1.01178,6.60511,2.85839
30.5,0.906252,6.55469,2.89681,0.908304,6.65552,2.88787
30.6,0.809233,6.57893,2.92681,0.828559,6.66892,2.91817
30.7,0.711531,6.60024,2.95681,0.718927,6.66048,2.94846
30.8,0.613233,6.61861,2.98681,0.611459,6.64516,2.9786
30.9,0.514428,6.63403,3.01681,0.506576,6.68284,3.00828
31,0.415206,6.64648,3.04681,0.408555,6.72174,3.03811
31.1,0.315655,6.65594,3.07681,0.329291,6.76668,3.06817
31.2,0.215864,6.66241,3.10681,0.222837,6.76142,3.09826
31.3,0.115925,6.66589,3.13681,0.13249,6.78693,3.12833
31.4,0.0159259,6.66637,-3.11637,0.0258189,6.78073,-3.12477
31.5,-0.0840423,6.66385,-3.08637,-0.054727,6.75464,-3.09442
31.6,-0.18389,6.65833,-3.05637,-0.163672,6.75477,-3.06467
31.7,-0.283527,6.64981,-3.02637,-0.26513,6.70054,-3.03437
31.8,-0.382864,6.63832,-2.99637,-0.360565,6.69293,-3.00405
31.9,-0.481811,6.62385,-2.96637,-0.479026,6.69173,-2.97448
32,-0.58028,6.60641,-2.93637,-0.554405,6.68441,-2.94453
32.1,-0.678182,6.58604,-2.90637,-0.647538,6.65095,-2.91443
32.2,-0.775428,6.56273,-2.87637,-0.760133,6.65164,-2.88486
32.3,-0.871931,6.53652,-2.84637,-0.877605,6.6373,-2.85511
32.4,-0.967605,6.50742,-2.81637,-0.940179,6.58151,-2.82437
