t,true_px,true_py,meas_px,meas_py,est_px,est_py
3.23,3.23,1.615,3.02877,1.40043,3.36118,1.59467
3.24,3.24,1.62,3.00329,2.09594,3.34146,1.64051
3.25,3.25,1.625,2.72268,1.26026,3.29877,1.6118
3.26,3.26,1.63,2.4683,2.33774,3.23687,1.67707
3.27,3.27,1.635,2.87175,1.96539,3.21331,1.70615
3.28,3.28,1.64,3.51766,2.29942,3.24637,1.76182
3.29,3.29,1.645,3.18499,1.17123,3.24866,1.71723
3.3,3.3,1.65,2.52213,0.257682,3.19393,1.59726
3.31,3.31,1.655,3.39068,2.04274,3.21689,1.63771
3.32,3.32,1.66,3.55584,0.895118,3.25236,1.57729
3.33,3.33,1.665,3.84941,1.31589,3.31049,1.55673
3.34,3.34,1.67,2.88655,1.30968,3.2823,1.53694
3.35,3.35,1.675,3.3892,0.932649,3.29877,1.48615
3.36,3.36,1.68,3.34148,1.89472,3.30992,1.52096
3.37,3.37,1.685,3.92366,1.77298,3.36998,1.54309
3.38,3.38,1.69,2.71019,1.76445,3.32215,1.56303
3.39,3.39,1.695,2.85987,1.13603,3.29004,1.52789
3.4,3.4,1.7,2.71865,0.744373,3.24778,1.4615
3.41,3.41,1.705,3.12642,2.26944,3.24301,1.52989
3.42,3.42,1.71,4.54824,1.42321,3.36006,1.52145
3.43,3.43,1.715,3.97305,1.51771,3.42016,1.52163
3.44,3.44,1.72,2.61463,2.07047,3.35997,1.56907
3.45,3.45,1.725,3.56741,2.63401,3.385,1.66163
3.46,3.46,1.73,2.69266,3.12802,3.33341,1.79039
3.47,3.47,1.735,4.26586,1.72604,3.4196,1.79075
3.48,3.48,1.74,3.33068,1.3821,3.42003,1.76153
3.49,3.49,1.745,3.54487,1.65303,3.43857,1.75727
3.5,3.5,1.75,3.7569,1.60282,3.47387,1.74887
3.51,3.51,1.755,4.21748,1.81752,3.54609,1.75928
3.52,3.52,1.76,3.39159,2.27214,3.54277,1.80781
3.53,3.53,1.765,2.71874,1.93549,3.48187,1.82427
3.54,3.54,1.77,3.55279,1.06457,3.49608,1.76503
3.55,3.55,1.775,2.69575,2.28017,3.43586,1.81351
3.56,3.56,1.78,4.0414,1.86628,3.4945,1.82333
3.57,3.57,1.785,4.42833,2.00548,3.58227,1.8443
3.58,3.58,1.79,4.2049,2.00016,3.64504,1.86333
3.59,3.59,1.795,3.4521,1.26623,3.6391,1.8182
3.6,3.6,1.8,3.29828,1.67144,3.62016,1.81054
3.61,3.61,1.805,4.29158,2.18996,3.6872,1.84764
3.62,3.62,1.81,3.78516,2.245,3.70633,1.88692
3.63,3.63,1.815,3.89369,1.94597,3.73326,1.89795
3.64,3.64,1.82,2.89067,2.38958,3.67239,1.94607
3.65,3.65,1.825,3.42074,2.36927,3.66057,1.98919
3.66,3.66,1.83,4.25261,1.49498,3.72048,1.95455
3.67,3.67,1.835,4.14486,1.65451,3.76706,1.93564
3.68,3.68,1.84,3.50248,1.96874,3.75542,1.9447
3.69,3.69,1.845,3.83224,1.86428,3.77251,1.94409
3.7,3.7,1.85,3.03286,1.78928,3.71985,1.93696
3.71,3.71,1.855,4.84924,0.462998,3.82579,1.81669
